1.1.01.001.5;; 1.057,57 ;D;1.1.01.001.5|1057,57
1.1.01.001.7;; 1.000,00 ;D;1.1.01.001.7|1000
1.1.01.002.9;; 10.897,47 ;D;1.1.01.002.9|10897,47
1.1.01.003.11;; 174,92 ;D;1.1.01.003.11|174,92
1.1.02.001.14;; 27.358,43 ;D;1.1.02.001.14|27358,43
1.1.02.001.15;; 61.915,29 ;D;1.1.02.001.15|61915,29
1.1.02.001.16;; 20.474,15 ;D;1.1.02.001.16|20474,15
1.1.02.001.17;; 590.866,78 ;D;1.1.02.001.17|590866,78
1.1.02.001.18;; 2.339,40 ;D;1.1.02.001.18|2339,4
1.1.02.001.19;; 211.050,23 ;C;1.1.02.001.19|-211050,23
1.1.02.001.20;; 286,78 ;D;1.1.02.001.20|286,78
1.1.02.002.22;; 230.479,33 ;C;1.1.02.002.22|-230479,33
1.1.03.001.25;; 1.168,42 ;D;1.1.03.001.25|1168,42
1.1.03.001.27;; 8,10 ;D;1.1.03.001.27|8,1
1.1.03.001.29;; 19,56 ;D;1.1.03.001.29|19,56
1.1.04.001.42;; 55,34 ;D;1.1.04.001.42|55,34
1.1.04.001.43;; 254,91 ;D;1.1.04.001.43|254,91
1.1.04.001.44;; 57,60 ;D;1.1.04.001.44|57,6
1.1.04.001.45;; 358,67 ;D;1.1.04.001.45|358,67
1.1.04.001.46;; 20.902,14 ;D;1.1.04.001.46|20902,14
1.1.05.001.50;; 25,50 ;D;1.1.05.001.50|25,5
1.1.05.001.52;; 8.408,02 ;D;1.1.05.001.52|8408,02
1.1.05.001.53;; 218.829,02 ;D;1.1.05.001.53|218829,02
1.1.06.001.60;; 11.248,83 ;D;1.1.06.001.60|11248,83
1.2.01.001.67;; 16.890.513,66 ;D;1.2.01.001.67|16890513,66
1.2.01.001.68;; 87.656,68 ;D;1.2.01.001.68|87656,68
1.3.01.001.72;; 78.931,57 ;D;1.3.01.001.72|78931,57
1.3.02.001.75;; 17.115.224,34 ;D;1.3.02.001.75|17115224,34
1.3.02.001.76;; 634.154,67 ;D;1.3.02.001.76|634154,67
1.3.02.001.77;; 343.460,71 ;D;1.3.02.001.77|343460,71
1.3.02.001.78;; 3.084.956,53 ;D;1.3.02.001.78|3084956,53
1.3.02.001.79;; 11.774,97 ;D;1.3.02.001.79|11774,97
1.3.02.001.80;; 80.341,92 ;D;1.3.02.001.80|80341,92
1.3.02.001.81;; 2.661,17 ;D;1.3.02.001.81|2661,17
1.3.02.001.83;; 129.677,28 ;D;1.3.02.001.83|129677,28
1.3.02.002.85;; 6.684.354,89 ;C;1.3.02.002.85|-6684354,89
1.3.02.002.86;; 322.193,20 ;C;1.3.02.002.86|-322193,2
1.3.02.002.87;; 137.396,55 ;C;1.3.02.002.87|-137396,55
1.3.02.002.88;; 2.365.380,46 ;C;1.3.02.002.88|-2365380,46
1.3.02.002.89;; 10.876,69 ;C;1.3.02.002.89|-10876,69
1.3.02.002.90;; 72.124,45 ;C;1.3.02.002.90|-72124,45
1.3.02.002.91;; 2.661,17 ;C;1.3.02.002.91|-2661,17
1.3.02.002.92;; 98.338,72 ;C;1.3.02.002.92|-98338,72
1.3.03.001.95;; 329.047,65 ;D;1.3.03.001.95|329047,65
1.3.03.001.97;; 1.924.089,84 ;D;1.3.03.001.97|1924089,84
1.3.03.002.99;; 1.709.882,74 ;C;1.3.03.002.99|-1709882,74
1.3.03.002.100;; 316.164,46 ;C;1.3.03.002.100|-316164,46
2.1.01.001.105;; 3.129.009,51 ;C;2.1.01.001.105|-3129009,51
2.1.02.001.108;; 9.827.631,42 ;C;2.1.02.001.108|-9827631,42
2.1.02.001.109;; 1.710.291,43 ;D;2.1.02.001.109|1710291,43
2.1.02.001.110;; 36.592,27 ;D;2.1.02.001.110|36592,27
2.1.02.002.112;; 1.575.480,78 ;C;2.1.02.002.112|-1575480,78
2.1.03.001.115;; 958.275,74 ;C;2.1.03.001.115|-958275,74
2.1.03.001.363;; 84.703,24 ;C;2.1.03.001.363|-84703,24
