id;taxId;legalName;tradeName;isHeadquarter;openingDate;registerOrg;registerNumber;registerDate;registerBook;registerSheet;mainActivity;secondaryActivities;street;number;complement;neighborhood;zipCode;state;city;country;email;phone1;phone2;equity;legalNature;size;taxRegime;status;statusDate;statusReason;simplesData;meiData;lastRfbSync;partners;type;createdAt;updatedAt;deletedAt
06a88dfa-d4cf-4c5c-8dc1-83538d6b8b7c;07432458000169;HALLO ADMINISTRACAO E PARTICIPACOES LTDA;HALLO;1;2004-07-13T00:00:00.000Z;;;;;;;;BANDEIRA PAULISTA;600;CONJ 32;ITAIM BIBI;04532001;SP;SAO PAULO;Brasil;;1125074382;;"10000";Sociedade Simples Limitada;DEMAIS;LUCRO_PRESUMIDO;active;2026-03-18T00:00:00.000Z;;;;;null;CLIENT;2026-03-18T15:48:52.208Z;2026-03-18T15:48:52.208Z;
11111111-1111-1111-1111-111111111111;00000000000000;Empresa Global - Visão Consolidada;🌐 Visão Global;1;2000-01-01T00:00:00.000Z;;;;;;;;Virtual;0;;Virtual;00000000;XX;Virtual;Brasil;;;;"0";000-0;DEMAIS;OUTROS;active;2026-03-18T00:00:00.000Z;;;;;;GLOBAL;2026-03-18T16:58:53.727Z;2026-03-18T16:58:53.727Z;
9a087410-29d0-4349-b4a6-fc1d0d7ef8ac;06190032000183;ADVOCACIA GOMES, ROSSETTI E BARELLI;;0;2003-09-04T00:00:00.000Z;;;;;;;;BANDEIRA PAULISTA;600;CONJ 32;ITAIM BIBI;04532001;SP;SAO PAULO;Brasil;;1125074383;;"100000";Sociedade Simples Pura;;;active;2026-03-18T00:00:00.000Z;;;;;[];CLIENT;2026-03-18T17:01:56.974Z;2026-03-18T17:01:56.974Z;
fcdd7233-f203-45d1-89ba-f3b0b127ba36;16846468000131;SUNRISE HOTELS & RESORTS HOLDING LTDA;SUNRISE HOTELS & RESORTS;0;2012-09-13T00:00:00.000Z;;;;;;;;BERNARDO VIEIRA DE MELO;1624;PARTE;PIEDADE;54410010;PE;JABOATAO DOS GUARARAPES;Brasil;;8133622898;8121222785;"1408780";Sociedade Empresária Limitada;;;active;2026-03-18T00:00:00.000Z;;;;;[];CLIENT;2026-03-18T17:52:35.488Z;2026-03-18T17:52:35.488Z;
