|I155|111020001|001|5182,08|D|1488882,04|1259796,07|234268,05|D|
|I155|114010001|001|5822,42|D|0|0|5822,42|D|
|I155|115010014|001|115637,12|D|0|0|115637,12|D|
|I155|115010015|001|16000|D|0|0|16000|D|
|I155|115010019|001|320000|D|0|0|320000|D|
|I155|115010047|001|10000|D|0|0|10000|D|
|I155|115010056|001|1243,49|D|0|0|1243,49|D|
|I155|115020001|001|2500|D|0|0|2500|D|
|I155|115020003|001|387245,94|D|1005387,97|0|1392633,91|D|
|I155|121010010|001|331785,66|D|0|0|331785,66|D|
|I155|122010001|001|7803435,47|D|0|0|7803435,47|D|
|I155|122010020|001|2752655,13|D|4375,2|0|2757030,33|D|
|I155|122010050|001|1289303,7|C|25981,33|76415,7|1339738,07|C|
|I155|211010004|001|22941,11|C|0|0|22941,11|C|
|I155|211010009|001|657294,01|C|0|0|657294,01|C|
|I155|211010016|001|31059,36|C|0|0|31059,36|C|
|I155|211010023|001|635975,16|C|0|0|635975,16|C|
|I155|211010025|001|14000|C|0|4000|18000|C|
|I155|211010037|001|154|C|0|0|154|C|
|I155|211010038|001|9093,5|C|0|0|9093,5|C|
|I155|211010050|001|3225,6|C|806,4|2419,2|4838,4|C|
|I155|211010055|001|4611,3|C|21070,54|16950,24|491|C|
|I155|211010056|001|217859,58|C|0|0|217859,58|C|
|I155|211010063|001|4202,5|C|0|0|4202,5|C|
|I155|211010065|001|4992|C|478,6|1956|6469,4|C|
|I155|211040002|001|57936,08|C|0|0|57936,08|C|
|I155|211040003|001|233,44|C|0|0|233,44|C|
|I155|211040005|001|25604,16|C|0|0|25604,16|C|
|I155|211040006|001|80562,89|C|0|0|80562,89|C|
|I155|211050001|001|176613,34|C|0|0|176613,34|C|
|I155|211060001|001|45192,85|D|0|3228,06|41964,79|D|
|I155|221020001|001|8624529,16|C|230500|471440|8865469,16|C|
|I155|221040001|001|214458,91|C|0|0|214458,91|C|
|I155|221050001|001|54877,02|D|0|0|54877,02|D|
|I155|231010001|001|600000|C|0|808780|1408780|C|
|I155|231010002|001|191220|D|808780|1000000|0|D|
|I155|232030001|001|632218,24|C|0|0|632218,24|C|
|I155|421020001|001|102082|D|4000|0|106082|D|
|I155|421020002|001|1448|D|0|0|1448|D|
|I155|421020003|001|100|D|0|0|100|D|
|I155|421020004|001|630275,3|D|0|0|630275,3|D|
|I155|421020007|001|98,45|D|0|0|98,45|D|
|I155|421020008|001|2548,31|D|156,58|491,8|2213,09|D|
|I155|421020010|001|1000|D|0|0|1000|D|
|I155|421030001|001|5678,34|D|0|0|5678,34|D|
|I155|421030002|001|21|D|0|0|21|D|
|I155|421040001|001|907,71|D|71,66|0|979,37|D|
|I155|422020001|001|764157|D|76415,7|0|840572,7|D|
|I155|431010001|001|6536,61|D|220,05|0|6756,66|D|
|I155|431010002|001|29678,01|D|3726,4|0|33404,41|D|
|I155|431010003|001|3612,22|D|605,93|0|4218,15|D|
|I155|441010003|001|24258,79|C|0|0|24258,79|C|
|I155|451020001|001|191039,3|C|0|19103,93|210143,23|C|
|I155|451020002|001|68774|C|0|6877,4|75651,4|C|
|I150|01122014|31122014|
|I155|111020001|001|234268,05|D|268500|502768,05|0|D|
|I155|114010001|001|5822,42|D|0|0|5822,42|D|
|I155|115010014|001|115637,12|D|0|0|115637,12|D|
|I155|115010015|001|16000|D|0|0|16000|D|
|I155|115010019|001|320000|D|0|0|320000|D|
|I155|115010047|001|10000|D|0|0|10000|D|
|I155|115010056|001|1243,49|D|0|0|1243,49|D|
|I155|115020001|001|2500|D|0|0|2500|D|
|I155|115020003|001|1392633,91|D|5187,97|1397821,88|0|D|
|I155|121010010|001|331785,66|D|1606821,88|0|1938607,54|D|
|I155|122010001|001|7803435,47|D|19781159,23|8348063,13|19236531,57|D|
|I155|122010020|001|2757030,33|D|1910|0|2758940,33|D|
|I155|122010050|001|1339738,07|C|25981,33|76415,7|1390172,44|C|
|I155|211010004|001|22941,11|C|22941,11|0|0|D|
|I155|211010009|001|657294,01|C|0|0|657294,01|C|
|I155|211010016|001|31059,36|C|0|0|31059,36|C|
|I155|211010023|001|635975,16|C|0|0|635975,16|C|
|I155|211010025|001|18000|C|8000|0|10000|C|
|I155|211010037|001|154|C|0|1910|2064|C|
|I155|211010038|001|9093,5|C|0|0|9093,5|C|
|I155|211010050|001|4838,4|C|1612,8|0|3225,6|C|
|I155|211010055|001|491|C|0|0|491|C|
|I155|211010056|001|217859,58|C|0|0|217859,58|C|
|I155|211010063|001|4202,5|C|0|0|4202,5|C|
|I155|211010065|001|6469,4|C|1823,53|0|4645,87|C|
|I155|211040002|001|57936,08|C|0|0|57936,08|C|
|I155|211040003|001|233,44|C|0|0|233,44|C|
|I155|211040005|001|25604,16|C|0|0|25604,16|C|
|I155|211040006|001|80562,89|C|0|0|80562,89|C|
|I155|211050001|001|176613,34|C|0|0|176613,34|C|
|I155|211060001|001|41964,79|D|0|3228,06|38736,73|D|
|I155|221020001|001|8865469,16|C|253900|268500|8880069,16|C|
|I155|221040001|001|214458,91|C|0|0|214458,91|C|
|I155|221050001|001|54877,02|D|0|0|54877,02|D|
|I155|231010001|001|1408780|C|0|0|1408780|C|
|I155|232030001|001|632218,24|C|0|0|632218,24|C|
|I155|232030002|001|0|D|0|1660476,06|1660476,06|C|
|I155|232050002|001|0|D|1660476,06|0|1660476,06|D|
|I155|232060001|001|0|D|0|10056336,98|10056336,98|C|
|I155|421020001|001|106082|D|0|106082|0|D|
|I155|421020002|001|1448|D|0|1448|0|D|
|I155|421020003|001|100|D|0|100|0|D|
|I155|421020004|001|630275,3|D|0|630275,3|0|D|
|I155|421020007|001|98,45|D|0|98,45|0|D|
|I155|421020008|001|2213,09|D|0|2213,09|0|D|
|I155|421020010|001|1000|D|0|1000|0|D|
|I155|421030001|001|5678,34|D|0|5678,34|0|D|
|I155|421030002|001|21|D|0|21|0|D|
|I155|421040001|001|979,37|D|0|979,37|0|D|
|I155|422020001|001|840572,7|D|76415,7|916988,4|0|D|
|I155|431010001|001|6756,66|D|225,27|6981,93|0|D|
|I155|431010002|001|33404,41|D|3262,48|36666,89|0|D|
|I155|431010003|001|4218,15|D|42,95|4261,1|0|D|
|I155|441010002|001|0|D|19781159,23|19781159,23|0|D|
|I155|441010003|001|24258,79|C|24258,79|0|0|D|
|I155|441020001|001|0|D|8348063,13|8348063,13|0|D|
|I155|451020001|001|210143,23|C|229247,16|19103,93|0|D|
|I155|451020002|001|75651,4|C|82528,8|6877,4|0|D|
|I155|511010001|001|0|D|20117193,98|20117193,98|0|D|
