CD30112021000000000000000Export              OUT                                               00001
L00000000002131003301                            000000001300000000                            00002                                                                                           000000                                   Aluguel Landmark - 6030 842449                                                                                                                                                                                                                                                                              0000                                           
L00000000004027002131                            000000000461400000                            00003                                                                                           000000                                   Condomínio - NEI SASIP - ASSOCIACAO  348488                                                                                                                                                                                                                                                                 0000                                           
L00000000002131003301                            000000000550000000                            00004                                                                                           000000                                   Aluguel 62 -  842449                                                                                                                                                                                                                                                                                        0000                                           
L00000000004027002131                            000000000223614000                            00005                                                                                           000000                                   Condomínio - EDIFICIO RESIDENCIAL REGENCY  348488                                                                                                                                                                                                                                                           0000                                           
L00000000004027002131                            000000000069400000                            00006                                                                                           000000                                   Condomínio - NEI TAXA EXTRA CAMPOS JORDAO  348488                                                                                                                                                                                                                                                           0000                                           
L00000000004027002131                            000000000261471000                            00007                                                                                           000000                                   Condomínio - NEI COND PALAYS ROYAL  348488                                                                                                                                                                                                                                                                  0000                                           
L00000000004027002131                            000000000082838000                            00008                                                                                           000000                                   Condomínio - NEI COND CAMPOS JORDAO  348488                                                                                                                                                                                                                                                                 0000                                           
L00000000004027002131                            000000000136430000                            00009                                                                                           000000                                   Condomínio 62 - NEI MARE  348488                                                                                                                                                                                                                                                                            0000                                           
L00000000004027002146                            000000000136430000                            00010                                                                                           000000                                   Condomínio 88 - MARE  710521                                                                                                                                                                                                                                                                                0000                                           
L00000000004027002131                            000000000136430000                            00011                                                                                           000000                                   Condomínio 92 - MARE  676599                                                                                                                                                                                                                                                                                0000                                           
